player.x     = 3.150791
player.y     = 5.738585
player.a     = 264.799469
player.cos_a = -0.090642
player.sin_a = 0.995884
Col Dist    Height
000. 4.011097 24
001. 4.022143 24
002. 4.033250 24
003. 4.044419 24
004. 4.055649 24
005. 4.066942 24
006. 4.078298 24
007. 4.089718 24
008. 4.101202 24
009. 4.112750 24
010. 4.124364 24
011. 4.136043 24
012. 4.147789 24
013. 4.159602 24
014. 4.171482 23
015. 4.183430 23
016. 4.195447 23
017. 4.207533 23
018. 4.219689 23
019. 4.231916 23
020. 4.244213 23
021. 4.256582 23
022. 4.269024 23
023. 4.281538 23
024. 4.294126 23
025. 4.306788 23
026. 4.319525 23
027. 4.332338 23
028. 4.345227 23
029. 4.358193 22
030. 4.371236 22
031. 4.384358 22
032. 4.397559 22
033. 4.410839 22
034. 4.424200 22
035. 4.437642 22
036. 4.451166 22
037. 4.464773 22
038. 4.478463 22
039. 4.492238 22
040. 4.506097 22
041. 4.520042 22
042. 4.534074 22
043. 4.548193 21
044. 4.562401 21
045. 4.576697 21
046. 4.591083 21
047. 4.605560 21
048. 4.620129 21
049. 4.634790 21
050. 4.649544 21
051. 4.664393 21
052. 4.679337 21
053. 4.694377 21
054. 4.709514 21
055. 4.724748 21
056. 4.740082 21
057. 4.755516 21
058. 4.771050 20
059. 4.786686 20
060. 4.802425 20
061. 4.818268 20
062. 4.834216 20
063. 4.850269 20
064. 4.866430 20
065. 4.882698 20
066. 4.899076 20
067. 4.915564 20
068. 4.932164 20
069. 4.948876 20
070. 4.965701 20
071. 4.982641 20
072. 4.999698 20
073. 5.016871 19
074. 5.034163 19
075. 5.051574 19
076. 5.069107 19
077. 5.086761 19
078. 5.104539 19
079. 5.122442 19
080. 5.140470 19
081. 5.158626 19
082. 5.176911 19
083. 5.195325 19
084. 5.213872 19
085. 5.232551 19
086. 5.251364 19
087. 5.270313 18
088. 5.289400 18
089. 5.308625 18
090. 5.327990 18
091. 5.347497 18
092. 5.367148 18
