Line n° nb 	 dist 	 cdist 	 line 	 wall 	 x1 	 y1 	 angle
Line n°0 -92	92.50413056904866	5	2	37	150	-205.0	
Line n°1 -92	92.78489252663462	5	2	36	150	-204.859375	
Line n°2 -93	93.3964586908947	5	2	36	150	-204.71875	
Line n°3 -94	94.01875629287765	5	2	35	150	-204.578125	
Line n°4 -94	94.30502717439937	5	2	35	150	-204.4375	
Line n°5 -94	94.9410474900756	5	2	34	150	-204.296875	
Line n°6 -95	95.58838182324321	5	2	33	150	-204.15625	
Line n°7 -95	95.88032550038439	5	2	33	150	-204.015625	
Line n°8 -96	96.54207038600157	4	2	32	150	-203.875	
Line n°9 -97	97.21575232440472	4	2	31	150	-203.734375	
Line n°10 -97	97.21575232440472	4	2	31	150	-203.59375	
Line n°11 -98	98.20236740699625	4	2	30	150	-203.453125	
Line n°12 -98	98.90379815689201	4	2	30	150	-203.3125	
Line n°13 -98	98.90379815689201	4	2	30	150	-203.171875	
Line n°14 -99	99.92497185388645	4	2	29	150	-203.03125	
Line n°15 -100	100.65565084764205	4	2	28	150	-202.890625	
Line n°16 -100	100.65565084764205	4	2	28	150	-202.75	
Line n°17 -101	101.39999999999999	4	2	27	150	-202.609375	
Line n°18 -102	102.47466074197477	4	2	26	150	-202.46875	
Line n°19 -103	103.25065815873636	4	2	25	150	-202.328125	
Line n°20 -103	103.25065815873636	4	2	25	150	-202.1875	
Line n°21 -104	104.36441654762667	4	2	24	150	-202.046875	
Line n°22 -105	105.17384474620951	4	2	23	150	-201.90625	
Line n°23 -105	105.17384474620951	4	2	23	150	-201.765625	
Line n°24 -105	105.99901137851776	4	2	22	150	-201.625	
Line n°25 -107	107.17354150781179	4	2	21	150	-201.484375	
Line n°26 -107	107.17354150781179	4	2	21	150	-201.34375	
Line n°27 -108	108.0350059008653	4	2	20	150	-201.203125	
Line n°28 -108	108.91363197335328	4	2	19	150	-201.0625	
Line n°29 -109	109.25402691304275	4	2	18	150	-200.921875	
Line n°30 -110	110.15392479821772	4	2	17	150	-200.78125	
Line n°31 -111	111.07204868912791	4	2	17	150	-200.640625	
Line n°32 -111	111.41990442484152	4	2	16	150	-200.5	
Line n°33 -112	112.36053855780507	4	2	15	150	-200.359375	
