         420213 function calls (416515 primitive calls) in 2.326 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    2.326    2.326 rts.py:1470(start)
        1    0.007    0.007    1.560    1.560 rts.py:1480(menu_loop)
     1852    0.040    0.000    1.354    0.001 C:\Users\damie_000\Documents\GitHub\tallentaa\projet_rts\python\engine.py:105(render)
     1852    0.811    0.000    0.811    0.000 {built-in method pygame.display.flip}
        1    0.000    0.000    0.498    0.498 C:\Users\damie_000\Documents\GitHub\tallentaa\projet_rts\python\engine.py:66(__init__)
     1854    0.390    0.000    0.390    0.000 {method 'fill' of 'pygame.Surface' objects}
        1    0.000    0.000    0.262    0.262 C:\Users\damie_000\Documents\GitHub\tallentaa\projet_rts\python\engine.py:75(stop)
        1    0.262    0.262    0.262    0.262 {built-in method pygame.base.quit}
        1    0.257    0.257    0.257    0.257 {built-in method pygame.base.init}
        1    0.013    0.013    0.217    0.217 {built-in method pygame.display.set_mode}
     96/2    0.001    0.000    0.205    0.102 <frozen importlib._bootstrap>:966(_find_and_load)
     96/2    0.000    0.000    0.205    0.102 <frozen importlib._bootstrap>:939(_find_and_load_unlocked)
     94/3    0.001    0.000    0.203    0.068 <frozen importlib._bootstrap>:659(_load_unlocked)
     68/3    0.000    0.000    0.203    0.068 <frozen importlib._bootstrap_external>:656(exec_module)
    118/3    0.000    0.000    0.203    0.068 <frozen importlib._bootstrap>:214(_call_with_frames_removed)
     78/3    0.005    0.000    0.202    0.067 {built-in method builtins.exec}
        1    0.000    0.000    0.202    0.202 C:\Users\damie_000\AppData\Local\Programs\Python\Python35-32\lib\site-packages\pygame\pkgdata.py:18(<module>)
        1    0.000    0.000    0.199    0.199 C:\Users\damie_000\AppData\Local\Programs\Python\Python35-32\lib\site-packages\pkg_resources\__init__.py:15(<module>)
    32/16    0.000    0.000    0.137    0.009 {built-in method builtins.__import__}
     1851    0.008    0.000    0.133    0.000 rts.py:1453(render)
     7404    0.033    0.000    0.122    0.000 rts.py:1391(render)
     7411    0.019    0.000    0.065    0.000 C:\Users\damie_000\Documents\GitHub\tallentaa\projet_rts\python\engine.py:78(text)
   141/82    0.000    0.000    0.064    0.001 <frozen importlib._bootstrap>:996(_handle_fromlist)
      9/8    0.000    0.000    0.054    0.007 <frozen importlib._bootstrap>:630(_load_backward_compatible)
        6    0.000    0.000    0.054    0.009 C:\Users\damie_000\AppData\Local\Programs\Python\Python35-32\lib\site-packages\pkg_resources\extern\__init__.py:35(load_module)
    16847    0.049    0.000    0.049    0.000 {built-in method pygame.draw.rect}
        1    0.000    0.000    0.047    0.047 C:\Users\damie_000\AppData\Local\Programs\Python\Python35-32\lib\site-packages\pkg_resources\_vendor\packaging\requirements.py:4(<module>)
