0#map = Map.new("The betrayal", 32, 32)
0#game = Game.new("This game", map, 2, 0.025)
0#player1 = Player.new(game, "Bob", Position.new(map, 1, 1))
0#player2 = Player.new(game, "Xitog", Position.new(map, 15, 15))
36#player1.make_group([6,6,6,6],11)
97#player1.make_group([6,5,6,5],11)
189#player1.make_group([7,4,7,4],11)
210#player1.make_group([6,5,6,5],11)
274#player1.make_group([4,4,4,4],11)
296#player1.make_group([6,5,6,5],11)
372#player1.make_group([5,4,5,4],11)
437#player1.make_group([6,5,6,5],11)
478#player1.make_group([6,6,6,6],11)
531#player1.make_group([7,5,7,5],11)
612#player1.make_group([6,5,6,5],11)
629#player1.make_group([7,5,7,5],11)
682#player1.make_group([5,0,5,0],11)
698#player1.make_group([6,6,6,6],11)
711#player1.make_group([7,5,7,5],11)
725#player1.make_group([6,6,6,6],11)
731#player1.order_to_group([7,6,7,6], 11)
739#player1.order_to_group([7,5,7,5], 11)
762#player1.make_group([7,5,7,5],11)
784#player1.make_group([7,6,7,6],11)
790#player1.order_to_group([5,7,5,7], 11)
837#player1.make_group([5,8,5,8],11)
899#player1.make_group([8,5,8,5],11)
908#player1.make_group([7,5,7,5],11)
941#player1.make_group([5,8,5,8],11)
953#player1.make_group([5,7,5,7],11)
963#player1.make_group([5,8,5,8],11)
988#player1.make_group([5,7,5,7],11)
994#player1.order_to_group([3,6,3,6], 11)
1008#player1.make_group([5,8,5,8],11)
1037#player1.make_group([3,6,3,6],11)
1054#player1.order_to_group([5,8,5,8], 11)
1077#player1.order_to_group([5,7,5,7], 11)
1096#player1.order_to_group([5,8,5,8], 11)
1110#player1.make_group([5,8,5,8],11)
1123#player1.make_group([5,7,5,7],11)
1131#player1.order_to_group([2,6,2,6], 11)
1147#player1.make_group([6,8,6,8],11)
1154#player1.make_group([5,8,5,8],11)
1177#player1.make_group([7,5,7,5],11)
1192#player1.make_group([6,5,6,5],11)
1200#player1.make_group([7,5,7,5],11)
1231#This game : exiting game.
