Type|Description|Commentaire|Termin&eacute;
Aller &agrave;|Passage Pommeraye|Nantes|
Aller &agrave;|Oradour sur Glane||
Ecouter|Madagascar - Hans Zimmer|Breakout!|Fait
Ecouter|MI2 - Hans Zimmer|Injection|Fait
Ecouter|Mad World (Donnie Darko)||Fait 
Jouer &agrave;|Okami|PS2 / Wii|
Jouer &agrave;|Silent Hill|PS2 / Wii|
Jouer &agrave;|Ico|PS2|
Jouer &agrave;|Shadow of the Colossus|PS2|
Lire|Spectacle dans un fauteuil|Musset|
Lire|Connie Francis - I will wait for you|YouTube|Fait
Lire|Le sexe &agrave; Rome||
Lire|Le capitalisme de s&eacute;duction Clouscard|Sociologie|
Lire|Montesquieu : cause de la d&eacute;cadence de Rome||
Lire|La Nuit des Rois|Th&eacute;&acirc;tre - Shakespeare|
Lire|Les scandales de l'art|BeauxArts Ed.|
Lire|Ren&eacute;|Chateaubriand|
Lire|Absolument d&eacute;bord&eacute;e|Livre sur le n&eacute;potisme dans la fct pub|
Lire|Conan JDR, AGOT JCE, Ad Astra, Battelore by Edge|http://www.edgeent.com/v2_fr/edge_tienda_detalle.asp?etidi=994|
Lire|Penser sa vie|Philosophie|
Lire|Un bonheur insoutenable|Un autre monde totalitaire|
Lire|Introduction &agrave; la psychanalyse|Psychologie|
Lire|La Religieuse - Diderot||
Lire|Le Prince de Machiavel||
Lire|L'institution imaginaire de la soci&eacute;t&eacute;|Castoriadis|
Lire|Malaise dans la civilisation de Freud|Psychologie|
Lire|La soci&eacute;t&eacute; de consommation Baudrillard|Sociologie|
Voir|Inglorious Bastards||Fait
Voir|Donnie Darko||Fait
Voir|Excalibur||E
Voir|La le&ccedil;on de piano||E
Voir|Le bon, la brute et le truand||
Voir|THX1138||
Voir|Les valseuses||
Voir|Attention Danger Travail|Pierre Carles Documentaire|
Voir|Les parapluies de Cherbourg||Fait
